1458,Koebenhavn K
1459,Koebenhavn K
1460,Koebenhavn K
1462,Koebenhavn K
1463,Koebenhavn K
1464,Koebenhavn K
1466,Koebenhavn K
1467,Koebenhavn K
1468,Koebenhavn K
1470,Koebenhavn K
1471,Koebenhavn K
1472,Koebenhavn K
1500,Koebenhavn V
1513,Centraltastning
1532,Koebenhavn V
1533,Koebenhavn V
1550,Koebenhavn V
1551,Koebenhavn V
1552,Koebenhavn V
1553,Koebenhavn V
1554,Koebenhavn V
1555,Koebenhavn V
1556,Koebenhavn V
1557,Koebenhavn V
1558,Koebenhavn V
1559,Koebenhavn V
1560,Koebenhavn V
1561,Koebenhavn V
1562,Koebenhavn V
1563,Koebenhavn V
1564,Koebenhavn V
1566,Koebenhavn V
1567,Koebenhavn V
1568,Koebenhavn V
1569,Koebenhavn V
1570,Koebenhavn V
1571,Koebenhavn V
1572,Koebenhavn V
1573,Koebenhavn V
1574,Koebenhavn V
1575,Koebenhavn V
1576,Koebenhavn V
1577,Koebenhavn V
1592,Koebenhavn V
1599,Koebenhavn V
1600,Koebenhavn V
1601,Koebenhavn V
1602,Koebenhavn V
1603,Koebenhavn V
1604,Koebenhavn V
1606,Koebenhavn V
1607,Koebenhavn V
1608,Koebenhavn V
1609,Koebenhavn V
1610,Koebenhavn V
1611,Koebenhavn V
1612,Koebenhavn V
1613,Koebenhavn V
1614,Koebenhavn V
1615,Koebenhavn V
1616,Koebenhavn V
1617,Koebenhavn V
1618,Koebenhavn V
1619,Koebenhavn V
1620,Koebenhavn V
1621,Koebenhavn V
1622,Koebenhavn V
1623,Koebenhavn V
1624,Koebenhavn V
1630,Koebenhavn V
1631,Koebenhavn V
1632,Koebenhavn V
1633,Koebenhavn V
1634,Koebenhavn V
1635,Koebenhavn V
1650,Koebenhavn V
1651,Koebenhavn V
1652,Koebenhavn V
1653,Koebenhavn V
1654,Koebenhavn V
1655,Koebenhavn V
1656,Koebenhavn V
1657,Koebenhavn V
1658,Koebenhavn V
1659,Koebenhavn V
1660,Koebenhavn V
1661,Koebenhavn V
1662,Koebenhavn V
1663,Koebenhavn V
1664,Koebenhavn V
1665,Koebenhavn V
1666,Koebenhavn V
1667,Koebenhavn V
1668,Koebenhavn V
1669,Koebenhavn V
1670,Koebenhavn V
1671,Koebenhavn V
1672,Koebenhavn V
1673,Koebenhavn V
1674,Koebenhavn V
1675,Koebenhavn V
1676,Koebenhavn V
1677,Koebenhavn V
1699,Koebenhavn V
1700,Koebenhavn V
1701,Koebenhavn V
1702,Koebenhavn V
1703,Koebenhavn V
1704,Koebenhavn V
1705,Koebenhavn V
1706,Koebenhavn V
1707,Koebenhavn V
1708,Koebenhavn V
1709,Koebenhavn V
1710,Koebenhavn V
1711,Koebenhavn V
1712,Koebenhavn V
1714,Koebenhavn V
1715,Koebenhavn V
1716,Koebenhavn V
1717,Koebenhavn V
1718,Koebenhavn V
1719,Koebenhavn V
1720,Koebenhavn V
1721,Koebenhavn V
1722,Koebenhavn V
1723,Koebenhavn V
1724,Koebenhavn V
1725,Koebenhavn V
1726,Koebenhavn V
1727,Koebenhavn V
1728,Koebenhavn V
1729,Koebenhavn V
1730,Koebenhavn V
1731,Koebenhavn V
1732,Koebenhavn V
1733,Koebenhavn V
1734,Koebenhavn V
1735,Koebenhavn V
1736,Koebenhavn V
1737,Koebenhavn V
1738,Koebenhavn V
1739,Koebenhavn V
1749,Koebenhavn V
1750,Koebenhavn V
1751,Koebenhavn V
1752,Koebenhavn V
1753,Koebenhavn V
1754,Koebenhavn V
1755,Koebenhavn V
1756,Koebenhavn V
1757,Koebenhavn V
1758,Koebenhavn V
1759,Koebenhavn V
1760,Koebenhavn V
1761,Koebenhavn V
1762,Koebenhavn V
1763,Koebenhavn V
1764,Koebenhavn V
1765,Koebenhavn V
1766,Koebenhavn V
1770,Koebenhavn V
1771,Koebenhavn V
1772,Koebenhavn V
1773,Koebenhavn V
1774,Koebenhavn V
1775,Koebenhavn V
1777,Koebenhavn V
1780,Koebenhavn V
1785,Koebenhavn V
1786,Koebenhavn V
1787,Koebenhavn V
1790,Koebenhavn V
1799,Koebenhavn V
1800,Frederiksberg C
1801,Frederiksberg C
1802,Frederiksberg C
1803,Frederiksberg C
1804,Frederiksberg C
1805,Frederiksberg C
1806,Frederiksberg C
1807,Frederiksberg C
1808,Frederiksberg C
1809,Frederiksberg C
1810,Frederiksberg C
1811,Frederiksberg C
1812,Frederiksberg C
1813,Frederiksberg C
1814,Frederiksberg C
1815,Frederiksberg C
1816,Frederiksberg C
1817,Frederiksberg C
1818,Frederiksberg C
1819,Frederiksberg C
1820,Frederiksberg C
1822,Frederiksberg C
1823,Frederiksberg C
1824,Frederiksberg C
1825,Frederiksberg C
1826,Frederiksberg C
1827,Frederiksberg C
1828,Frederiksberg C
1829,Frederiksberg C
1850,Frederiksberg C
1851,Frederiksberg C
1852,Frederiksberg C
1853,Frederiksberg C
1854,Frederiksberg C
1855,Frederiksberg C
1856,Frederiksberg C
1857,Frederiksberg C
1860,Frederiksberg C
1861,Frederiksberg C
1862,Frederiksberg C
1863,Frederiksberg C
1864,Frederiksberg C
1865,Frederiksberg C
1866,Frederiksberg C
1867,Frederiksberg C
1868,Frederiksberg C
1870,Frederiksberg C
1871,Frederiksberg C
1872,Frederiksberg C
1873,Frederiksberg C
1874,Frederiksberg C
1875,Frederiksberg C
1876,Frederiksberg C
1877,Frederiksberg C
1878,Frederiksberg C
1879,Frederiksberg C
1900,Frederiksberg C
1901,Frederiksberg C
1902,Frederiksberg C
1903,Frederiksberg C
1904,Frederiksberg C
1905,Frederiksberg C
1906,Frederiksberg C
1908,Frederiksberg C
1909,Frederiksberg C
1910,Frederiksberg C
1911,Frederiksberg C
1912,Frederiksberg C
1913,Frederiksberg C
1914,Frederiksberg C
1915,Frederiksberg C
1916,Frederiksberg C
1917,Frederiksberg C
1920,Frederiksberg C
1921,Frederiksberg C
1922,Frederiksberg C
1923,Frederiksberg C
1924,Frederiksberg C
1925,Frederiksberg C
1926,Frederiksberg C
1927,Frederiksberg C
1928,Frederiksberg C
1950,Frederiksberg C
1951,Frederiksberg C
1952,Frederiksberg C
1953,Frederiksberg C
1954,Frederiksberg C
1955,Frederiksberg C
1956,Frederiksberg C
1957,Frederiksberg C
1958,Frederiksberg C
1959,Frederiksberg C
1960,Frederiksberg C
1961,Frederiksberg C
1962,Frederiksberg C
1963,Frederiksberg C
1964,Frederiksberg C
1965,Frederiksberg C
1966,Frederiksberg C
1967,Frederiksberg C
1970,Frederiksberg C
1971,Frederiksberg C
1972,Frederiksberg C
1973,Frederiksberg C
1974,Frederiksberg C
2000,Frederiksberg
2100,Koebenhavn oe
2150,Nordhavn
2200,Koebenhavn N
2300,Koebenhavn S
2400,Koebenhavn NV
2450,Koebenhavn SV
2500,Valby
2600,Glostrup
2605,Broendby
2610,Roedovre
2620,Albertslund
2625,Vallensbaek
2630,Taastrup
2635,Ishoej
2640,Hedehusene
2650,Hvidovre
2660,Broendby Strand
2665,Vallensbaek Strand
2670,Greve
2680,Solroed Strand
2690,Karlslunde
2700,Broenshoej
2720,Vanloese
2730,Herlev
2740,Skovlunde
2750,Ballerup
2760,Maaloev
2765,Smoerum
2770,Kastrup
2791,Dragoer
2800,Kongens Lyngby
2820,Gentofte
2830,Virum
2840,Holte
2850,Naerum
2860,Soeborg
2870,Dyssegaard
2880,Bagsvaerd
2900,Hellerup
2920,Charlottenlund
2930,Klampenborg
2942,Skodsborg
2950,Vedbaek
2960,Rungsted Kyst
2970,Hoersholm
2980,Kokkedal
2990,Nivaa
3000,Helsingoer
3050,Humlebaek
3060,Espergaerde
3070,Snekkersten
3080,Tikoeb
3100,Hornbaek
3120,Dronningmoelle
3140,aalsgaarde
3150,Hellebaek
3200,Helsinge
3210,Vejby
3220,Tisvildeleje
3230,Graested
3250,Gilleleje
3300,Frederiksvaerk
3310,oelsted
3320,Skaevinge
3330,Goerloese
3360,Liseleje
3370,Melby
3390,Hundested
3400,Hilleroed
3450,Alleroed
3460,Birkeroed
3480,Fredensborg
3490,Kvistgaard
3500,Vaerloese
3520,Farum
3540,Lynge
3550,Slangerup
3600,Frederikssund
3630,Jaegerspris
3650,oelstykke
3660,Stenloese
3670,Veksoe Sjaelland
3700,Roenne
3720,Aakirkeby
3730,Nexoe
3740,Svaneke
3751,oestermarie
3760,Gudhjem
3770,Allinge
3782,Klemensker
3790,Hasle
4000,Roskilde
4030,Tune
4040,Jyllinge
4050,Skibby
4060,Kirke Saaby
4070,Kirke Hyllinge
4100,Ringsted
4130,Viby Sjaelland
4140,Borup
4160,Herlufmagle
4171,Glumsoe
4173,Fjenneslev
4174,Jystrup Midtsj
4180,Soroe
4190,Munke Bjergby
4200,Slagelse
4220,Korsoer
4230,Skaelskoer
4241,Vemmelev
4242,Boeslunde
4243,Rude
4250,Fuglebjerg
4261,Dalmose
4262,Sandved
4270,Hoeng
4281,Goerlev
4291,Ruds Vedby
4293,Dianalund
4295,Stenlille
4296,Nyrup
4300,Holbaek
4320,Lejre
4330,Hvalsoe
4340,Toelloese
4350,Ugerloese
4360,Kirke Eskilstrup
4370,Store Merloese
4390,Vipperoed
4400,Kalundborg
4420,Regstrup
4440,Moerkoev
4450,Jyderup
4460,Snertinge
4470,Sveboelle
4480,Store Fuglede
4490,Jerslev Sjaelland
4500,Nykoebing Sj
4520,Svinninge
4532,Gislinge
4534,Hoerve
4540,Faarevejle
4550,Asnaes
4560,Vig
4571,Grevinge
4572,Noerre Asmindrup
4573,Hoejby
4581,Roervig
4583,Sjaellands Odde
4591,Foellenslev
4592,Sejeroe
4593,Eskebjerg
4600,Koege
4621,Gadstrup
4622,Havdrup
4623,Lille Skensved
4632,Bjaeverskov
4640,Faxe
4652,Haarlev
4653,Karise
4654,Faxe Ladeplads
4660,Store Heddinge
4671,Stroeby
4672,Klippinge
4673,Roedvig Stevns
4681,Herfoelge
4682,Tureby
4683,Roennede
4684,Holmegaard
4690,Haslev
4700,Naestved
4720,Praestoe
4733,Tappernoeje
4735,Mern
4736,Karrebaeksminde
4750,Lundby
4760,Vordingborg
4771,Kalvehave
4772,Langebaek
4773,Stensved
4780,Stege
4791,Borre
4792,Askeby
4793,Bogoe By
4800,Nykoebing F
4840,Noerre Alslev
4850,Stubbekoebing
4862,Guldborg
4863,Eskilstrup
4871,Horbelev
4872,Idestrup
4873,Vaeggerloese
4874,Gedser
4880,Nysted
4891,Toreby L
4892,Kettinge
4894,oester Ulslev
4895,Errindlev
4900,Nakskov
4912,Harpelunde
4913,Horslunde
4920,Soellested
4930,Maribo
4941,Bandholm
4943,Torrig L
4944,Fejoe
4951,Noerreballe
4952,Stokkemarke
4953,Vesterborg
4960,Holeby
4970,Roedby
4983,Dannemare
4990,Sakskoebing
5000,Odense C
5200,Odense V
5210,Odense NV
5220,Odense Soe
5230,Odense M
5240,Odense Noe
5250,Odense SV
5260,Odense S
5270,Odense N
5290,Marslev
5300,Kerteminde
5320,Agedrup
5330,Munkebo
5350,Rynkeby
5370,Mesinge
5380,Dalby
5390,Martofte
5400,Bogense
5450,Otterup
5462,Morud
5463,Harndrup
5464,Brenderup Fyn
5466,Asperup
5471,Soendersoe
5474,Veflinge
5485,Skamby
5491,Blommenslyst
5492,Vissenbjerg
5500,Middelfart
5540,Ullerslev
5550,Langeskov
